LGA Name,LGA,Region,Net Expenditure ($),DIS Score ,DIS Rank State ,DIS RANK COUNTRY ,DIS RANK METRO ,ADVDIS Score,ADVDIS Rank State ,ADVDIS RANK COUNTRY ,ADVDIS RANK METRO ,Population 2016,per Venue 2016,"per 1,000 Adults 2016",per Adult 2016,Workforce,Unemployed,Unemployment rate,
Shire of Hindmarsh,C8,Country, -   ,946.57,9,7,-, 928.90 ,6,4,-," 4,220 ", -   , -   ,0.00," 2,401 ", 130 ,5.41%,
Shire of Indigo,C35,Country, -   ,1009.81,53,42,-, 997.15 ,51,45,-," 12,030 ", -   , -   ,0.00," 8,926 ", 332 ,3.72%,
Shire of Loddon,C46,Country, -   ,934.09,4,2,-, 925.53 ,4,2,-," 5,862 ", -   , -   ,0.00," 3,203 ", 254 ,7.93%,
Shire of Moyne,C36,Country, -   ,1017.26,56,44,-," 1,004.93 ",55,35,-," 12,385 ", -   , -   ,0.00," 9,288 ", 216 ,2.33%,
Shire of Pyrenees,C44,Country, -   ,939.85,8,6,-, 929.78 ,8,3,-," 5,573 ", -   , -   ,0.00," 3,065 ", 227 ,7.41%,
Shire of West Wimmera,C39,Country, -   ,985.64,33,29,-, 977.10 ,36,10,-," 3,026 ", -   , -   ,0.00," 1,866 ", 67 ,3.59%,
Shire of Yarriambiack,C40,Country, -   ,952.35,14,11,-, 942.54 ,16,5,-," 5,309 ", -   , -   ,0.00," 2,862 ", 171 ,5.97%,
Metro,,," 2,058,184,854.85 ",,,,,,,,," 3,578,211 "," 11,359 ", 5 ,575.20," 2,425,146 "," 144,039 ",5.94%,
Country,,," 558,518,640.86 ",,,,,,,,," 1,152,500 "," 6,230 ", 7 ,484.61," 749,473 "," 43,911 ",5.86%,
Victoria,,," 2,616,703,495.71 "," 78,742 "," 3,183 "," 1,176 ", 496 ," 78,133 "," 3,180 "," 1,176 ", 496 ," 4,730,711 "," 9,461 ", 6 , 553.13 ," 3,174,619 "," 187,950 ",5.92%,
