LGA Name,LGA,Region,Net Expenditure ($),DIS Score ,DIS Rank State ,DIS RANK COUNTRY ,DIS RANK METRO ,ADVDIS Score,ADVDIS Rank State ,ADVDIS RANK COUNTRY ,ADVDIS RANK METRO ,Population 2015,per Venue 2015,"per 1,000 Adults 2015",per Adult 2015,Workforce ,Unemployed ,Unemployment rate 
Shire of Cardinia,M24,Metro," 23,259,238.90 ",1024.27,60,-,15," 1,008.24 ",57,-,10," 65,746 "," 13,149 ", 5 ,353.78," 46,633 "," 3,164 ",6.78%
Shire of Yarra Ranges,M25,Metro," 28,786,766.80 ",1037.15,64,-,18," 1,022.04 ",61,-,15," 116,182 "," 12,909 ", 4 ,247.77," 82,858 "," 4,587 ",5.54%
City of Hume,M27,Metro," 104,943,985.95 ",951.75,12,-,3, 950.28 ,21,-,3," 142,650 "," 10,189 ", 6 ,735.67," 92,557 "," 8,276 ",8.94%
City of Brimbank,M28,Metro," 141,609,226.77 ",925.76,3,-,2, 931.50 ,9,-,2," 155,474 "," 10,365 ", 6 ,910.82," 102,068 "," 10,140 ",9.93%
Shire of Melton,M29,Metro," 57,349,284.44 ",1002.15,50,-,10, 993.08 ,48,-,7," 93,911 "," 13,416 ", 5 ,610.67," 70,412 "," 5,365 ",7.62%
City of Hobsons Bay,M3,Metro," 46,430,981.96 ",1001.75,49,-,9, 999.92 ,54,-,12," 73,598 "," 7,360 ", 8 ,630.87," 50,901 "," 2,953 ",5.80%
City of Wyndham,M30,Metro," 93,116,687.86 ",1013.40,55,-,12," 1,007.19 ",56,-,13," 149,897 "," 11,531 ", 6 ,621.20," 113,110 "," 7,869 ",6.96%
Shire of Mornington Peninsula,M31,Metro," 79,400,240.34 ",1022.54,59,-,14," 1,011.43 ",59,-,14," 122,383 "," 7,199 ", 7 ,648.79," 74,199 "," 4,167 ",5.62%
City of Yarra,M4,Metro," 31,084,714.55 ",1019.05,58,-,13," 1,041.94 ",66,-,23," 76,823 "," 9,603 ", 4 ,404.63," 55,713 "," 4,102 ",7.36%
City of Maribyrnong,M5,Metro," 52,994,016.09 ",974.01,24,-,4, 988.43 ,46,-,5," 67,387 "," 7,487 ", 6 ,786.42," 48,672 "," 3,534 ",7.26%
City of Stonnington,M6,Metro," 23,019,972.59 ",1083.69,77,-,28," 1,097.82 ",77,-,29," 93,307 "," 13,330 ", 3 ,246.71," 63,996 "," 2,587 ",4.04%
City of Glen Eira,M7,Metro," 73,555,920.90 ",1069.41,75,-,26," 1,073.79 ",74,-,24," 115,814 "," 10,529 ", 7 ,635.12," 78,244 "," 4,030 ",5.15%
City of Bayside,M8,Metro," 15,813,241.53 ",1091.06,78,-,29," 1,107.97 ",79,-,30," 78,116 "," 15,623 ", 3 ,202.43," 51,003 "," 2,049 ",4.02%
City of Moonee Valley,M9,Metro," 74,747,047.29 ",1027.15,62,-,17," 1,030.54 ",62,-,17," 95,266 "," 8,661 ", 8 ,784.62," 63,721 "," 3,574 ",5.61%
Shire of Buloke,C7,Country, -   ,967.67,22,19,-, 950.70 ,22,7,-," 4,768 ", -   , -   ,0.00," 3,061 ", 135 ,4.41%
Shire of Golden Plains,C32,Country, -   ,1030.10,63,45,-," 1,011.08 ",58,44,-," 15,366 ", -   , -   ,0.00," 10,429 ", 420 ,4.03%
Shire of Hindmarsh,C8,Country, -   ,946.57,9,7,-, 928.90 ,6,4,-," 4,310 ", -   , -   ,0.00," 2,838 ", 138 ,4.86%
Shire of Indigo,C35,Country, -   ,1009.81,53,42,-, 997.15 ,51,45,-," 11,965 ", -   , -   ,0.00," 8,570 ", 400 ,4.67%
Shire of Loddon,C46,Country, -   ,934.09,4,2,-, 925.53 ,4,2,-," 5,872 ", -   , -   ,0.00," 3,430 ", 245 ,7.14%
Shire of Moyne,C36,Country, -   ,1017.26,56,44,-," 1,004.93 ",55,35,-," 12,317 ", -   , -   ,0.00," 8,755 ", 273 ,3.12%
Shire of Pyrenees,C44,Country, -   ,939.85,8,6,-, 929.78 ,8,3,-," 5,610 ", -   , -   ,0.00," 3,128 ", 151 ,4.83%
Shire of West Wimmera,C39,Country, -   ,985.64,33,29,-, 977.10 ,36,10,-," 3,108 ", -   , -   ,0.00," 2,220 ", 79 ,3.56%
Shire of Yarriambiack,C40,Country, -   ,952.35,14,11,-, 942.54 ,16,5,-," 5,384 ", -   , -   ,0.00," 3,365 ", 173 ,5.14%
Metro,,," 2,020,198,090.17 ",,,,,,,,," 3,505,348 "," 11,058 ", 5 ,576.32," 2,370,822 "," 154,242 ",6.51%
Country,,," 551,727,941.31 ",,,,,,,,," 1,142,470 "," 6,045 ", 7 ,482.93," 748,976 "," 45,676 ",6.10%
Victoria,,," 2,571,926,031.48 "," 78,742 "," 3,183 "," 1,176 ", 496 ," 78,133 "," 3,180 "," 1,176 ", 496 ," 4,647,818 "," 9,185 ", 6 , 553.36 ," 3,119,798 "," 199,918 ",6.41%
