LGA Name,LGA,Region,Net Expenditure ($),DIS Score ,DIS Rank State ,DIS RANK COUNTRY ,DIS RANK METRO ,ADVDIS Score,ADVDIS Rank State ,ADVDIS RANK COUNTRY ,ADVDIS RANK METRO ,Population 2017,per Venue 2017,"per 1,000 Adults 2017",per Adult 2017,Workforce ,Unemployed ,Unemployment rate 
City of Moreland,M10,Metro,"61,627,685.48",998.06,46,-,8,999.81,53,-,11,"142,043","11,837",5,433.87,"89,693","6,121",6.82%
City of Darebin,M11,Metro,"81,112,259.79",990.32,39,-,6,994.85,50,-,8,"127,229","10,602",6,637.53,"82,524","5,733",6.95%
City of Boroondara,M12,Metro,"19,330,775.50",1097.63,79,-,30,"1,114.30",80,-,31,"142,953","35,738",1,135.22,"102,330","4,107",4.01%
City of Whitehorse,M13,Metro,"52,884,289.66",1051.17,70,-,24,"1,057.21",72,-,21,"136,502","22,750",3,387.42,"90,786","5,386",5.93%
City of Manningham,M14,Metro,"54,170,062.46",1071.43,76,-,27,"1,081.47",76,-,25,"99,095","14,156",5,546.65,"65,722","3,832",5.83%
City of Banyule,M15,Metro,"55,820,854.07",1047.4,68,-,22,"1,044.18",67,-,20,"101,604","11,289",6,549.4,"70,881","3,207",4.52%
City of Maroondah,M17,Metro,"65,114,897.86",1043.87,66,-,20,"1,034.28",64,-,18,"90,000","9,000",8,723.5,"62,478","3,055",4.89%
City of Knox,M18,Metro,"75,061,924.49",1049.3,69,-,23,"1,038.98",65,-,19,"125,350","11,395",6,598.82,"89,861","3,710",4.13%
City of Monash,M19,Metro,"109,200,787.10",1044.92,67,-,21,"1,053.66",71,-,22,"155,678","10,379",6,701.45,"100,170","3,197",3.19%
City of Port Phillip,M2,Metro,"27,466,983.75",1065.72,73,-,25,"1,076.77",75,-,27,"95,351","9,535",4,288.06,"69,270","3,052",4.41%
City of Kingston,M20,Metro,"83,016,928.48",1037.75,65,-,19,"1,033.78",63,-,16,"125,706","7,857",7,660.41,"84,549","4,697",5.56%
City of Greater Dandenong,M21,Metro,"118,190,093.03",894.87,1,-,1,905.17,2,-,1,"123,853","8,257",8,954.27,"76,502","7,832",10.24%
City of Frankston,M22,Metro,"62,408,098.64",996.75,44,-,7,982.8,43,-,6,"107,133","11,904",5,582.53,"77,928","5,174",6.64%
City of Casey,M23,Metro,"127,093,891.89",1006.48,51,-,11,997.43,52,-,9,"229,025","17,617",4,554.93,"168,810","11,253",6.67%
Shire of Cardinia,M24,Metro,"27,045,323.57",1024.27,60,-,15,"1,008.24",57,-,10,"71,966","14,393",5,375.81,"53,286","3,311",6.21%
Shire of Yarra Ranges,M25,Metro,"28,850,082.09",1037.15,64,-,18,"1,022.04",61,-,15,"117,730","13,081",4,245.05,"85,358","3,894",4.56%
City of Hume,M27,Metro,"105,766,409.57",951.75,12,-,3,950.28,21,-,3,"151,170","10,798",5,699.65,"101,634","10,437",10.27%
City of Brimbank,M28,Metro,"134,141,671.85",925.76,3,-,2,931.5,9,-,2,"159,506","10,634",6,840.98,"103,488","11,732",11.34%
Shire of Melton,M29,Metro,"61,157,311.67",1002.15,50,-,10,993.08,48,-,7,"103,704","14,815",5,589.73,"75,230","6,751",8.97%
City of Hobsons Bay,M3,Metro,"46,908,518.85",1001.75,49,-,9,999.92,54,-,12,"74,581","8,287",7,628.96,"51,620","3,249",6.29%
City of Wyndham,M30,Metro,"97,761,233.60",1013.4,55,-,12,"1,007.19",56,-,13,"162,786","12,522",5,600.55,"123,025","9,294",7.55%
Shire of Mornington Peninsula,M31,Metro,"82,563,313.29",1022.54,59,-,14,"1,011.43",59,-,14,"124,321","7,313",7,664.12,"81,557","3,831",4.70%
City of Yarra,M4,Metro,"30,801,195.80",1019.05,58,-,13,"1,041.94",66,-,23,"80,755","10,094",4,381.42,"58,250","3,335",5.73%
City of Maribyrnong,M5,Metro,"54,068,510.53",974.01,24,-,4,988.43,46,-,5,"70,225","7,803",6,769.94,"50,666","3,920",7.74%
City of Stonnington,M6,Metro,"23,032,562.79",1083.69,77,-,28,"1,097.82",77,-,29,"95,060","13,580",3,242.29,"66,096","1,991",3.01%
City of Glen Eira,M7,Metro,"76,259,820.19",1069.41,75,-,26,"1,073.79",74,-,24,"118,747","10,795",7,642.21,"80,095","3,217",4.02%
City of Bayside,M8,Metro,"14,710,079.11",1091.06,78,-,29,"1,107.97",79,-,30,"80,571","16,114",3,182.57,"52,163","1,699",3.26%
City of Moonee Valley,M9,Metro,"75,679,083.21",1027.15,62,-,17,"1,030.54",62,-,17,"98,927","8,993",7,765,"65,264","3,334",5.11%
Shire of Buloke,C7,Country,,967.67,22,19,-,950.7,22,7,-,"4,594", -   , -   , -   ,"2,957",120,4.06%
Shire of Golden Plains,C32,Country,,1030.1,63,45,-,"1,011.08",58,44,-,"15,815", -   , -   , -   ,"11,726",372,3.17%
Shire of Hindmarsh,C8,Country,,946.57,9,7,-,928.9,6,4,-,"4,194", -   , -   , -   ,"2,635",109,4.14%
Shire of Indigo,C35,Country,,1009.81,53,42,-,997.15,51,45,-,"12,113", -   , -   , -   ,"8,570",290,3.38%
Shire of Loddon,C46,Country,,934.09,4,2,-,925.53,4,2,-,"5,865", -   , -   , -   ,"3,181",164,5.16%
Shire of Moyne,C36,Country,,1017.26,56,44,-,"1,004.93",55,35,-,"12,484", -   , -   , -   ,"9,305",284,3.05%
Shire of Pyrenees,C44,Country,,939.85,8,6,-,929.78,8,3,-,"5,623", -   , -   , -   ,"3,403",150,4.41%
Shire of West Wimmera,C39,Country,,985.64,33,29,-,977.1,36,10,-,"2,978", -   , -   , -   ,"2,085",63,3.02%
Shire of Yarriambiack,C40,Country,,952.35,14,11,-,942.54,16,5,-,"5,252", -   , -   , -   ,"3,061",152,4.97%
Metro,,,"2,046,887,034.52",,,,,,,,,"3,648,157","11,693",5,561.07,"2,518,741","152,908",6.07%
Country,,,"562,643,025.81",,,,,,,,,"1,167,733","6,312",6,481.83,"777,561","42,070",5.41%
Victoria,,,"2,609,530,060.33","78,742","3,183","1,176",496,"78,133","3,180","1,176",496,"4,815,889","9,690",5,541.86,"3,296,302","194,978",5.92%
