LGA Name,LGA,Region,Net Expenditure ($),DIS Score ,DIS Rank State ,DIS RANK COUNTRY ,DIS RANK METRO ,ADVDIS Score,ADVDIS Rank State ,ADVDIS RANK COUNTRY ,ADVDIS RANK METRO ,Population 2017,per Venue 2017,"per 1,000 Adults 2017",per Adult 2017,Workforce ,Unemployed ,Unemployment rate 
City of Whittlesea,M26,Metro,"106,994,642.75",988.6,38,-,5,983.36,44,-,4,"157,370","15,737",4,679.89,"111,495","8,151",7.31%
Shire of Nillumbik,M16,Metro,"8,298,522.61",1098.26,80,-,31,"1,099.03",78,-,26,"48,614","24,307",2,170.7,"39,288","1,022",2.60%
RURAL CITY OF ARARAT,C43,Country,"4,921,777.36",950.51,11,9,-,938.42,11,9,-,"8,712","4,356",10,564.94,"5,616",308,5.48%
Shire of Northern Grampians,C14,Country,"4,183,804.74",937.59,6,4,-,925.61,5,6,-,"9,131","4,566",9,458.19,"5,742",290,5.05%
Borough of Queenscliffe,C1,Country,"1,282,462.14",1053.2,71,46,-,"1,047.25",69,47,-,"2,524","2,524",12,508.09,"1,371",41,2.99%
City of Greater Geelong,C21,Country,"114,136,381.74",992.9,40,34,-,980.37,39,42,-,"185,673","7,141",7,614.72,"121,497","7,578",6.24%
SHIRE OF CORANGAMITE,C3,Country,"2,764,524.83",986.05,34,30,-,970.41,34,21,-,"11,943","5,971",5,231.48,"8,606",288,3.35%
Shire of Colac-Otway,C18,Country,"7,466,425.77",964.59,21,18,-,946.48,19,18,-,"15,790","3,158",7,472.86,"11,412",475,4.16%
SHIRE OF HEPBURN,C26,Country,"2,844,831.13",979.59,28,24,-,967.11,28,27,-,"12,111","6,056",4,234.89,"8,021",272,3.39%
Shire of Moorabool,C22,Country,"8,550,958.40",1008.46,52,41,-,994.71,49,43,-,"24,945","8,315",4,342.79,"17,643","1,086",6.16%
SHIRE OF CENTRAL GOLDFIELDS,C31,Country,"7,325,139.04",904.57,2,1,-,887.9,1,1,-,"10,265","5,132",10,713.63,"5,475",425,7.76%
SHIRE OF MOUNT ALEXANDER,C47,Country,"2,823,286.73",983.35,32,28,-,969.86,32,32,-,"15,039","15,039",2,187.73,"8,503",316,3.72%
SHIRE OF MANSFIELD,C49,Country,"1,619,488.47",1012.14,54,43,-,991.67,47,37,-,"6,450","6,450",6,251.07,"4,442",127,2.86%
SHIRE OF MURRINDINDI,C41,Country,"1,433,765.85",997.18,45,38,-,982.25,41,40,-,"11,220","11,220",2,127.79,"7,299",316,4.33%
Shire of Mitchell,C13,Country,"17,356,249.50",996.06,43,37,-,979.03,38,39,-,"30,645","6,129",7,566.36,"22,261","1,319",5.93%
SHIRE OF TOWONG,C34,Country,"254,603.83",995.92,42,36,-,982.47,42,31,-,"4,567","4,567",2,55.75,"3,086",140,4.54%
Shire of Alpine,C2,Country,"2,316,519.89",986.88,35,31,-,969.92,33,26,-,"9,514","4,757",6,243.49,"6,421",221,3.44%
SHIRE OF MOIRA,C17,Country,"3,780,992.31",952.38,15,12,-,936.27,10,12,-,"22,762","11,381",5,166.11,"14,374",911,6.34%
SHIRE OF STRATHBOGIE,C42,Country,"1,219,972.05",970.2,23,20,-,956.36,23,14,-,"8,137","8,137",4,149.93,"5,083",215,4.23%
Rural City of Benalla,C48,Country,"5,078,028.84",957.2,16,13,-,944.6,18,20,-,"10,571","3,524",10,480.37,"6,935",358,5.16%
SHIRE OF GANNAWARRA,C38,Country,"1,907,102.44",958.83,18,15,-,940.4,13,8,-,"7,808","7,808",6,244.24,"5,032",190,3.78%
Shire of Campaspe,C10,Country,"8,568,948.56",964.07,20,17,-,947.07,20,19,-,"28,645","7,161",7,299.14,"19,365","1,190",6.15%
Shire of Glenelg,C25,Country,"6,616,359.12",960.19,19,16,-,943.44,17,13,-,"14,934","3,733",8,443.04,"10,481",587,5.60%
SHIRE OF SOUTHERN GRAMPIANS,C37,Country,"6,152,158.79",994.46,41,35,-,977.6,37,29,-,"12,191","6,096",6,504.64,"8,643",390,4.51%
Shire of Wellington,C12,Country,"21,829,657.87",974.09,25,21,-,960.85,25,24,-,"32,573","4,653",10,670.18,"21,686","1,350",6.23%
Rural City of Wodonga,C15,Country,"7,517,544.65",974.67,26,22,-,962.94,26,41,-,"30,139","10,046",4,249.43,"21,251","1,161",5.46%
City of Warrnambool,C16,Country,"18,794,442.23",988.57,37,33,-,969.8,31,36,-,"26,469","3,309",9,710.06,"19,095",885,4.63%
City of Greater Bendigo,C19,Country,"47,754,127.20",983.07,31,27,-,967.35,29,33,-,"86,565","7,870",7,551.66,"53,436","2,318",4.34%
City of Ballarat,C20,Country,"54,568,804.35",980.79,29,25,-,969.03,30,34,-,"80,467","5,364",8,678.15,"54,821","2,432",4.44%
Rural City of Swan Hill,C23,Country,"7,439,367.75",949.83,10,8,-,939.41,12,11,-,"15,622","3,906",10,476.2,"10,492",455,4.34%
City of Greater Shepparton,C24,Country,"31,147,764.24",951.9,13,10,-,942.37,15,23,-,"48,403","6,050",7,643.5,"34,155","2,448",7.17%
Rural City of Mildura,C27,Country,"25,309,607.49",935.02,5,3,-,924.07,3,16,-,"40,949","5,119",7,618.08,"26,697","1,744",6.53%
Shire of East Gippsland,C28,Country,"23,472,196.09",958.17,17,14,-,942.21,14,17,-,"36,101","3,610",9,650.19,"21,199","1,730",8.16%
Shire of Bass Coast,C29,Country,"16,126,066.61",977.5,27,23,-,959.75,24,22,-,"26,925","6,731",7,598.93,"15,827","1,141",7.21%
City of Latrobe,C30,Country,"43,552,057.13",939.68,7,5,-,929.15,7,15,-,"57,025","4,387",9,763.73,"37,296","3,647",9.78%
Shire of Surf Coast,C33,Country,"2,924,662.21",1066.46,74,48,-,"1,059.78",73,48,-,"22,493","7,498",3,130.02,"16,433",440,2.68%
Shire of South Gippsland,C4,Country,"6,575,894.83",999.52,48,40,-,980.51,40,30,-,"21,828","5,457",5,301.26,"14,923",658,4.41%
Shire of Macedon Ranges,C45,Country,"9,526,013.69",1055.08,72,47,-,"1,046.85",68,46,-,"35,672","11,891",3,267.05,"25,017",633,2.53%
Rural City of Horsham,C5,Country,"9,202,786.89",987.39,36,32,-,970.8,35,28,-,"15,399","5,133",10,597.61,"10,313",397,3.85%
Shire of Baw Baw,C6,Country,"15,586,093.22",998.06,47,39,-,983.45,45,38,-,"37,499","9,375",6,415.64,"25,760","1,188",4.61%
Rural City of Wangaratta,C9,Country,"8,712,157.83",981.12,30,26,-,965.11,27,25,-,"21,107","5,277",6,412.76,"14,929",696,4.66%
City of Melbourne,M1,Metro,"80,349,220.84",1025.81,61,-,16,"1,050.96",70,-,28,"130,602","11,873",6,615.22,"88,722","3,384",3.81%
